JOB_DISCIPLINE_NAME,Standard Craft,Craft Grouping
Estimating (Com),Not used for Std Craft,Not used for Std Craft
Ethics and Compliance (Sust & Gov),Not used for Std Craft,Not used for Std Craft
Executive Management (Fin),Not used for Std Craft,Not used for Std Craft
Executive Management (Ops),Not used for Std Craft,Not used for Std Craft
Executive Management (ProjCtrl),Not used for Std Craft,Not used for Std Craft
Executive Management (Sust & Gov),Not used for Std Craft,Not used for Std Craft
Expediting (SC),Not used for Std Craft,Not used for Std Craft
Facilities,Not used for Std Craft,Not used for Std Craft
Field (Eng),Not used for Std Craft,Not used for Std Craft
Financial Planning & Analysis (FP&A),Not used for Std Craft,Not used for Std Craft
Fleet Operations (Mar),Not used for Std Craft,Not used for Std Craft
Food Services (GenSvc),Not used for Std Craft,Not used for Std Craft
General Superintendent (OffCon),Not used for Std Craft,Not used for Std Craft
Generalist (HR),Not used for Std Craft,Not used for Std Craft
Geotechnical,Not used for Std Craft,Not used for Std Craft
Government Relations,Not used for Std Craft,Not used for Std Craft
Hook Up & Commissioning (Eng),Not used for Std Craft,Not used for Std Craft
Hook Up & Commissioning (Fab),Not used for Std Craft,Not used for Std Craft
Hook Up (Eng),Not used for Std Craft,Not used for Std Craft
HSE Engineering,Not used for Std Craft,Not used for Std Craft
HSES (HSES),Not used for Std Craft,Not used for Std Craft
HSES (OffCon),Not used for Std Craft,Not used for Std Craft
HSES Training (HSES),Not used for Std Craft,Not used for Std Craft
HSES Training (QHSES),Not used for Std Craft,Not used for Std Craft
Immigration,Not used for Std Craft,Not used for Std Craft
Immigration (HR),Not used for Std Craft,Not used for Std Craft
Installation (Eng),Not used for Std Craft,Not used for Std Craft
Installation Analysis,Not used for Std Craft,Not used for Std Craft
Instrumentation & Controls,Not used for Std Craft,Not used for Std Craft
Instrumentation (Eng),Not used for Std Craft,Not used for Std Craft
Instrumentation Design (Dr/Des),Not used for Std Craft,Not used for Std Craft
IT Pillar (IT),Not used for Std Craft,Not used for Std Craft
IT PMO (IT),Not used for Std Craft,Not used for Std Craft
Licensed Marine (OffCon),Not used for Std Craft,Not used for Std Craft
Logistics & Trade Compliance (SC),Not used for Std Craft,Not used for Std Craft
Maintenance,Not used for Std Craft,Not used for Std Craft
Management (Ops),Not used for Std Craft,Not used for Std Craft
Material Takeoff (Dr/Des),Not used for Std Craft,Not used for Std Craft
Material Takeoff (Eng),Not used for Std Craft,Not used for Std Craft
Mechanical,Not used for Std Craft,Not used for Std Craft
Mechanical (Eng),Not used for Std Craft,Not used for Std Craft
Medical (HSES),Not used for Std Craft,Not used for Std Craft
Metallurgical Engineer (Qlty),Not used for Std Craft,Not used for Std Craft
Mobility,Not used for Std Craft,Not used for Std Craft
Naval Architecture (Eng),Not used for Std Craft,Not used for Std Craft
Office Services (GenSvc),Not used for Std Craft,Not used for Std Craft
Offshore Construction (Mar),Not used for Std Craft,Not used for Std Craft
Offshore Construction (OffCon),Not used for Std Craft,Not used for Std Craft
Operations (Eng),Not used for Std Craft,Not used for Std Craft
Operations (Fab),Not used for Std Craft,Not used for Std Craft
Operations (Ops),Not used for Std Craft,Not used for Std Craft
Operations (ProjCtrl),Not used for Std Craft,Not used for Std Craft
Operators (OffCon),Not used for Std Craft,Not used for Std Craft
Package Management,Not used for Std Craft,Not used for Std Craft
Paralegal (Sust & Gov),Not used for Std Craft,Not used for Std Craft
Payroll (Fin),Not used for Std Craft,Not used for Std Craft
Pipeline (Eng),Not used for Std Craft,Not used for Std Craft
Pipeline Design (Dr/Des),Not used for Std Craft,Not used for Std Craft
Piping,Not used for Std Craft,Not used for Std Craft
Piping & Layout (Eng),Not used for Std Craft,Not used for Std Craft
Piping (Eng),Not used for Std Craft,Not used for Std Craft
Piping Design (Dr/Des),Not used for Std Craft,Not used for Std Craft
Planning/Scheduling (ProjCtrl),Not used for Std Craft,Not used for Std Craft
Process (Eng),Not used for Std Craft,Not used for Std Craft
Process Design (Dr/Des),Not used for Std Craft,Not used for Std Craft
Process Welding (Fab),Not used for Std Craft,Not used for Std Craft
Procurement,Not used for Std Craft,Not used for Std Craft
Production (Eng),Not used for Std Craft,Not used for Std Craft
Project Accounting (Fin),Not used for Std Craft,Not used for Std Craft
Project Engineer (ProjMgmt),Not used for Std Craft,Not used for Std Craft
Project Engineering (Eng),Not used for Std Craft,Not used for Std Craft
Project Info Management,Not used for Std Craft,Not used for Std Craft
Project Management (ProjMgmt),Not used for Std Craft,Not used for Std Craft
Projects (ProjMgmt),Not used for Std Craft,Not used for Std Craft
Proposals (Com),Not used for Std Craft,Not used for Std Craft
Purchasing (SC),Not used for Std Craft,Not used for Std Craft
QHSES,Not used for Std Craft,Not used for Std Craft
Real Estate & Facilities,Not used for Std Craft,Not used for Std Craft
Receptionist,Not used for Std Craft,Not used for Std Craft
Records & Information Mgmt (IT),Not used for Std Craft,Not used for Std Craft
Risk & Insurance (Sust & Gov),Not used for Std Craft,Not used for Std Craft
Sales & Marketing (Com),Not used for Std Craft,Not used for Std Craft
Security (HSES),Not used for Std Craft,Not used for Std Craft
Structural,Not used for Std Craft,Not used for Std Craft
Structural (Eng),Not used for Std Craft,Not used for Std Craft
Structural Design (Dr/Des),Not used for Std Craft,Not used for Std Craft
Structural Drafting (Dr/Des),Not used for Std Craft,Not used for Std Craft
Subcontracts (SC),Not used for Std Craft,Not used for Std Craft
Subsea (Eng),Not used for Std Craft,Not used for Std Craft
Supply Chain,Not used for Std Craft,Not used for Std Craft
Survey (Mar),Not used for Std Craft,Not used for Std Craft
Sustainabiity (StratSust),Not used for Std Craft,Not used for Std Craft
Sustainability,Not used for Std Craft,Not used for Std Craft
Sustainability (Sust),Not used for Std Craft,Not used for Std Craft
Systems (Eng),Not used for Std Craft,Not used for Std Craft
Talent Acquisition,Not used for Std Craft,Not used for Std Craft
Talent Management (HR),Not used for Std Craft,Not used for Std Craft
Technology (IT),Not used for Std Craft,Not used for Std Craft
Telecommmunications (Eng),Not used for Std Craft,Not used for Std Craft
Total Rewards (HR),Not used for Std Craft,Not used for Std Craft
Training (Fab),Not used for Std Craft,Not used for Std Craft
Training (HR),Not used for Std Craft,Not used for Std Craft
Treasury (Fin),Not used for Std Craft,Not used for Std Craft
Vessel Chartering and Assurance,Not used for Std Craft,Not used for Std Craft
Vessel Management (OffCon),Not used for Std Craft,Not used for Std Craft
Weld,Not used for Std Craft,Not used for Std Craft
Welding,Not used for Std Craft,Not used for Std Craft
QHSES Training (QHSES),Not used for Std Craft,Not used for Std Craft
Telecommunications (Eng),Not used for Std Craft,Not used for Std Craft
Contract Management,Not used for Std Craft,Not used for Std Craft
AWS Technician,Not used for Std Craft,Not used for Std Craft
Licensed Marine (LicMar),Not used for Std Craft,Not used for Std Craft
Civil/Structural,Not used for Std Craft,Not used for Std Craft
Electrical Drafting (Dr/Des),Not used for Std Craft,Not used for Std Craft
Piping Drafting (Dr/Des),Not used for Std Craft,Not used for Std Craft
Project Engineer (Eng),Not used for Std Craft,Not used for Std Craft
Construction (Fab)-Hook up,Not used for Std Craft,Not used for Std Craft
HSES Training (HSES)-HSES TRAINING,Not used for Std Craft,Not used for Std Craft
Completions (Comp),Not used for Std Craft,Not used for Std Craft
Administrative Assistant,Not used for Std Craft,Not used for Std Craft
Associate Commissioning Engineer,Not used for Std Craft,Not used for Std Craft
Associate Completions Specialist (Fab),Not used for Std Craft,Not used for Std Craft
Associate Hook Up Engineer,Not used for Std Craft,Not used for Std Craft
Associate HSES Specialist,Not used for Std Craft,Not used for Std Craft
Associate HSES Tech,Not used for Std Craft,Not used for Std Craft
Associate Production Engineer,Not used for Std Craft,Not used for Std Craft
Commissioning Engineer,Not used for Std Craft,Not used for Std Craft
Construction Specialist (Fab),Not used for Std Craft,Not used for Std Craft
Construction Superintendent,Not used for Std Craft,Not used for Std Craft
Construction Tech (Fab),Not used for Std Craft,Not used for Std Craft
Crew Scheduling Administrator,Not used for Std Craft,Not used for Std Craft
Document Controller,Not used for Std Craft,Not used for Std Craft
Fabrication Rigging Foreman,Not used for Std Craft,Not used for Std Craft
Hook Up & Comm Tech Supervisor,Not used for Std Craft,Not used for Std Craft
Hook Up & Commission Engineer,Not used for Std Craft,Not used for Std Craft
Hook Up & Commissioning Tech,Not used for Std Craft,Not used for Std Craft
Hook Up Engineer,Not used for Std Craft,Not used for Std Craft
HSES Specialist,Not used for Std Craft,Not used for Std Craft
Installation Analysis Engineer,Not used for Std Craft,Not used for Std Craft
Manager Construction Support,Not used for Std Craft,Not used for Std Craft
Manager Hook Up & Commissioning,Not used for Std Craft,Not used for Std Craft
Painter Supervisor,Not used for Std Craft,Not used for Std Craft
Pipefitter Foreman,Not used for Std Craft,Not used for Std Craft
Pipefitter Supervisor,Not used for Std Craft,Not used for Std Craft
Principal Civil/Structural Designer,Not used for Std Craft,Not used for Std Craft
Principal Commissioning Engineer,Not used for Std Craft,Not used for Std Craft
Principal Crew Scheduling Administrator,Not used for Std Craft,Not used for Std Craft
